category,feature,mean_clean,mean_category,cohen_d,tstat,pval,abs_cohen,spearman_rho,n_samples,n_weak,n_strong
drive,crest_factor,7.4005208,2.636489675,4.519175699303195,7.178884920779482,0.01461870983308525,4.519175699303195,,,,
drive,rms,0.047091049999999995,0.42972796750000003,-2.5884400154479814,-6.812113690291131,0.0002277424294759448,2.5884400154479814,,,,
drive,secondary_peak_count,21.5,44.375,-2.1805811099334136,-1.230216110902812,0.43138248996613443,2.1805811099334136,,,,
drive,amplitude_modulation,0.002309444011189,0.15860787918791175,-2.0340774211165398,-5.381539990759529,0.0010283469733997084,2.0340774211165398,,,,
drive,spectral_flux,0.8411538898944855,1.050691157579422,-1.255252333604684,-1.8720620728108601,0.2053205314143434,1.255252333604684,,,,
drive,spectral_bandwidth,2078.6088901959724,2702.8042736817515,-1.2090575240010977,-1.9764010513638774,0.16847179542994722,1.2090575240010977,,,,
drive,post_onset_energy_ratio,0.99999985,0.9999994912500001,0.9799903223930835,2.1850992232739967,0.06981128457456191,0.9799903223930835,,,,
drive,spectral_centroid,2046.2861624257926,2479.999588249919,-0.9618915359571651,-1.397337284727234,0.30523384913960333,0.9618915359571651,,,,
drive,modulation_energy,0.39665012061595917,0.5067360065877438,-0.9365836014176797,-1.0098579874600586,0.4609575594075752,0.9365836014176797,,,,
drive,autocorrelation,0.97931838,0.97645498,0.7161352784999525,1.012730393132848,0.42820845878341796,0.7161352784999525,,,,
drive,spectral_rolloff,4207.131764250855,4972.536463533335,-0.6696057023945147,-0.8379872632900623,0.5125325506513857,0.6696057023945147,,,,
drive,sustain_ratio,0.66046535,0.7604194950000001,-0.5768261127069993,-0.8541952671371532,0.4859158550356576,0.5768261127069993,,,,
drive,spectral_flux_variance,2.7395771145820618,3.805798590183258,-0.5159779521117877,-0.768145324271963,0.5246950444380294,0.5159779521117877,,,,
drive,inter_peak_interval_variance,47.67853836767869,38.158545775042874,0.38418150237433635,0.3214463344908617,0.7965249185949986,0.38418150237433635,,,,
drive,spectral_flatness,0.0085179673042148,0.0106218764558434,-0.32168039648057034,-0.4484994300555188,0.703024687407686,0.32168039648057034,,,,
